#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-03T20:01:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac3dc3b1b7c5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=J-K
#-out=J-L
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	J-L	(F7.3)	(J-L) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;J-K;J-L
  9250;  2.00; 0.2; -0.149; -0.061;  0.001;  0.001;  0.047;  0.000;  0.020;  0.002;  0.012
  9250;  2.50; 0.2; -0.085; -0.066; -0.008; -0.014;  0.039; -0.006;  0.015;  0.002;  0.011
  9250;  3.00; 0.2; -0.037; -0.053; -0.010; -0.016;  0.040; -0.007;  0.011;  0.003;  0.011
  9250;  3.50; 0.2; -0.003; -0.028; -0.008; -0.011;  0.044; -0.003;  0.009;  0.005;  0.011
  9250;  4.00; 0.2;  0.015;  0.004; -0.004; -0.001;  0.050;  0.002;  0.008;  0.007;  0.012
  9250;  4.50; 0.2;  0.013;  0.042;  0.002;  0.012;  0.060;  0.010;  0.009;  0.009;  0.012
  9250;  5.00; 1.0; -0.012;  0.083;  0.009;  0.029;  0.073;  0.020;  0.013;  0.012;  0.013
  9500;  2.00; 0.2; -0.191; -0.065; -0.003; -0.013; -0.006; -0.010;  0.016; -0.006; -0.002
  9500;  2.50; 0.2; -0.123; -0.074; -0.014; -0.032; -0.018; -0.018;  0.011; -0.007; -0.004
  9500;  3.00; 0.2; -0.072; -0.065; -0.018; -0.038; -0.019; -0.020;  0.007; -0.005; -0.003
  9500;  3.50; 0.2; -0.034; -0.044; -0.017; -0.036; -0.017; -0.018;  0.004; -0.003; -0.002
  9500;  4.00; 0.2; -0.010; -0.014; -0.015; -0.028; -0.012; -0.013;  0.002; -0.002; -0.002
  9500;  4.50; 0.2; -0.005;  0.023; -0.010; -0.017; -0.006; -0.007;  0.003;  0.001; -0.001
  9500;  5.00; 0.2; -0.022;  0.063; -0.004; -0.003;  0.004;  0.002;  0.006;  0.003;  0.000
  9750;  2.00; 0.2; -0.232; -0.067; -0.004; -0.018; -0.048; -0.014;  0.009; -0.015; -0.015
  9750;  2.50; 0.2; -0.161; -0.079; -0.016; -0.040; -0.063; -0.023;  0.004; -0.017; -0.019
  9750;  3.00; 0.2; -0.107; -0.074; -0.021; -0.048; -0.067; -0.027;  0.000; -0.016; -0.018
  9750;  3.50; 0.2; -0.066; -0.056; -0.023; -0.048; -0.066; -0.026; -0.003; -0.014; -0.017
  9750;  4.00; 0.2; -0.037; -0.029; -0.021; -0.043; -0.062; -0.022; -0.005; -0.012; -0.016
  9750;  4.50; 0.2; -0.025;  0.006; -0.018; -0.034; -0.057; -0.016; -0.005; -0.010; -0.015
  9750;  5.00; 0.2; -0.035;  0.046; -0.013; -0.022; -0.050; -0.009; -0.003; -0.008; -0.014
 10000;  2.00; 0.2; -0.285; -0.071; -0.002; -0.017; -0.076; -0.014;  0.002; -0.024; -0.027
 10000;  2.50; 0.2; -0.211; -0.085; -0.015; -0.040; -0.094; -0.025; -0.003; -0.027; -0.032
 10000;  3.00; 0.2; -0.156; -0.083; -0.022; -0.051; -0.100; -0.029; -0.007; -0.027; -0.032
 10000;  3.50; 0.2; -0.112; -0.068; -0.024; -0.053; -0.100; -0.029; -0.011; -0.025; -0.031
 10000;  4.00; 0.2; -0.079; -0.044; -0.024; -0.050; -0.098; -0.027; -0.012; -0.023; -0.029
 10000;  4.50; 0.2; -0.062; -0.011; -0.022; -0.043; -0.094; -0.022; -0.013; -0.021; -0.028
 10000;  5.00; 0.2; -0.066;  0.027; -0.018; -0.033; -0.089; -0.015; -0.011; -0.019; -0.027
 10500;  2.00; 0.2; -0.382; -0.083;  0.000; -0.014; -0.122; -0.014; -0.007; -0.038; -0.047
 10500;  2.50; 0.2; -0.306; -0.098; -0.014; -0.039; -0.144; -0.026; -0.013; -0.043; -0.054
 10500;  3.00; 0.2; -0.248; -0.099; -0.021; -0.053; -0.153; -0.032; -0.017; -0.044; -0.056
 10500;  3.50; 0.2; -0.202; -0.089; -0.026; -0.059; -0.156; -0.033; -0.021; -0.043; -0.055
 10500;  4.00; 0.2; -0.166; -0.071; -0.027; -0.059; -0.155; -0.032; -0.023; -0.041; -0.053
 10500;  4.50; 0.2; -0.142; -0.043; -0.027; -0.055; -0.153; -0.028; -0.024; -0.039; -0.051
 10500;  5.00; 0.2; -0.133; -0.007; -0.026; -0.049; -0.150; -0.023; -0.023; -0.037; -0.049
 11000;  2.50; 0.2; -0.387; -0.112; -0.014; -0.042; -0.202; -0.028; -0.024; -0.060; -0.078
 11000;  3.00; 0.2; -0.329; -0.114; -0.022; -0.057; -0.213; -0.034; -0.029; -0.062; -0.081
 11000;  3.50; 0.2; -0.282; -0.107; -0.027; -0.065; -0.218; -0.037; -0.032; -0.062; -0.081
 11000;  4.00; 0.2; -0.244; -0.092; -0.030; -0.067; -0.220; -0.037; -0.034; -0.060; -0.079
 11000;  4.50; 0.2; -0.216; -0.069; -0.032; -0.067; -0.219; -0.035; -0.035; -0.058; -0.077
 11000;  5.00; 0.2; -0.201; -0.038; -0.032; -0.063; -0.218; -0.031; -0.035; -0.056; -0.075
 11500;  2.50; 0.2; -0.480; -0.133; -0.018; -0.050; -0.273; -0.033; -0.039; -0.079; -0.103
 11500;  3.00; 0.2; -0.423; -0.136; -0.025; -0.065; -0.285; -0.039; -0.043; -0.082; -0.107
 11500;  3.50; 0.2; -0.377; -0.130; -0.031; -0.073; -0.291; -0.042; -0.046; -0.082; -0.108
 11500;  4.00; 0.2; -0.339; -0.118; -0.034; -0.077; -0.294; -0.043; -0.049; -0.081; -0.107
 11500;  4.50; 0.2; -0.309; -0.099; -0.037; -0.078; -0.295; -0.042; -0.050; -0.079; -0.105
 11500;  5.00; 0.2; -0.290; -0.072; -0.038; -0.077; -0.295; -0.039; -0.050; -0.077; -0.103
 12000;  2.50; 0.2; -0.478; -0.121; -0.032; -0.073; -0.278; -0.042; -0.030; -0.069; -0.092
 12000;  3.00; 0.2; -0.424; -0.125; -0.039; -0.087; -0.291; -0.048; -0.034; -0.072; -0.097
 12000;  3.50; 0.2; -0.379; -0.120; -0.044; -0.095; -0.297; -0.051; -0.037; -0.073; -0.098
 12000;  4.00; 0.2; -0.342; -0.110; -0.048; -0.100; -0.301; -0.052; -0.040; -0.073; -0.098
 12000;  4.50; 0.2; -0.311; -0.093; -0.051; -0.102; -0.303; -0.052; -0.041; -0.071; -0.097
 12000;  5.00; 0.2; -0.289; -0.070; -0.053; -0.102; -0.304; -0.050; -0.041; -0.070; -0.095
 12500;  2.50; 0.2; -0.523; -0.129; -0.036; -0.083; -0.313; -0.047; -0.034; -0.077; -0.103
 12500;  3.00; 0.2; -0.472; -0.133; -0.043; -0.096; -0.324; -0.053; -0.038; -0.080; -0.107
 12500;  3.50; 0.2; -0.430; -0.129; -0.048; -0.103; -0.331; -0.056; -0.042; -0.081; -0.109
 12500;  4.00; 0.2; -0.395; -0.120; -0.051; -0.108; -0.335; -0.057; -0.044; -0.081; -0.110
 12500;  4.50; 0.2; -0.365; -0.105; -0.054; -0.111; -0.338; -0.057; -0.045; -0.080; -0.109
 12500;  5.00; 0.2; -0.342; -0.084; -0.057; -0.112; -0.340; -0.056; -0.045; -0.079; -0.107
 13000;  2.50; 0.2; -0.564; -0.136; -0.041; -0.093; -0.345; -0.052; -0.038; -0.084; -0.113
 13000;  3.00; 0.2; -0.514; -0.141; -0.047; -0.105; -0.356; -0.057; -0.042; -0.087; -0.117
 13000;  3.50; 0.2; -0.475; -0.138; -0.051; -0.112; -0.362; -0.060; -0.045; -0.088; -0.119
 13000;  4.00; 0.2; -0.442; -0.129; -0.055; -0.116; -0.366; -0.062; -0.048; -0.088; -0.120
 13000;  4.50; 0.2; -0.414; -0.115; -0.057; -0.119; -0.369; -0.062; -0.049; -0.088; -0.119
 13000;  5.00; 0.2; -0.391; -0.096; -0.060; -0.121; -0.372; -0.061; -0.049; -0.087; -0.118
 14000;  2.50; 0.2; -0.636; -0.150; -0.050; -0.111; -0.404; -0.062; -0.046; -0.098; -0.132
 14000;  3.00; 0.2; -0.587; -0.155; -0.055; -0.122; -0.414; -0.067; -0.050; -0.100; -0.136
 14000;  3.50; 0.2; -0.551; -0.153; -0.059; -0.128; -0.418; -0.069; -0.053; -0.101; -0.137
 14000;  4.00; 0.2; -0.522; -0.144; -0.061; -0.131; -0.421; -0.070; -0.055; -0.101; -0.138
 14000;  4.50; 0.2; -0.498; -0.132; -0.064; -0.134; -0.425; -0.070; -0.056; -0.101; -0.138
 14000;  5.00; 0.2; -0.478; -0.115; -0.066; -0.136; -0.428; -0.070; -0.056; -0.100; -0.137
 15000;  2.50; 0.2; -0.699; -0.162; -0.058; -0.128; -0.458; -0.071; -0.054; -0.111; -0.151
 15000;  3.00; 0.2; -0.647; -0.169; -0.063; -0.139; -0.466; -0.076; -0.057; -0.112; -0.153
 15000;  3.50; 0.2; -0.612; -0.166; -0.066; -0.144; -0.468; -0.077; -0.059; -0.113; -0.154
 15000;  4.00; 0.2; -0.586; -0.159; -0.068; -0.146; -0.471; -0.078; -0.061; -0.113; -0.154
 15000;  4.50; 0.2; -0.565; -0.147; -0.070; -0.148; -0.473; -0.078; -0.062; -0.113; -0.154
 15000;  5.00; 0.2; -0.549; -0.132; -0.072; -0.149; -0.476; -0.077; -0.062; -0.112; -0.154
 16000;  2.50; 0.2; -0.757; -0.172; -0.065; -0.145; -0.509; -0.080; -0.061; -0.123; -0.168
 16000;  3.00; 0.2; -0.701; -0.181; -0.071; -0.155; -0.515; -0.084; -0.063; -0.124; -0.169
 16000;  3.50; 0.2; -0.666; -0.179; -0.074; -0.159; -0.515; -0.085; -0.065; -0.124; -0.169
 16000;  4.00; 0.2; -0.640; -0.172; -0.075; -0.161; -0.516; -0.086; -0.066; -0.123; -0.169
 16000;  4.50; 0.2; -0.621; -0.161; -0.076; -0.162; -0.517; -0.085; -0.067; -0.123; -0.169
 16000;  5.00; 0.2; -0.607; -0.147; -0.078; -0.162; -0.519; -0.085; -0.067; -0.123; -0.169
 17000;  2.50; 0.2; -0.812; -0.180; -0.072; -0.159; -0.556; -0.088; -0.068; -0.135; -0.186
 17000;  3.00; 0.2; -0.750; -0.192; -0.078; -0.170; -0.560; -0.092; -0.069; -0.135; -0.185
 17000;  3.50; 0.2; -0.713; -0.190; -0.080; -0.173; -0.559; -0.093; -0.070; -0.134; -0.184
 17000;  4.00; 0.2; -0.688; -0.184; -0.082; -0.174; -0.558; -0.093; -0.071; -0.133; -0.183
 17000;  4.50; 0.2; -0.670; -0.173; -0.083; -0.175; -0.558; -0.092; -0.072; -0.132; -0.183
 17000;  5.00; 0.2; -0.658; -0.160; -0.084; -0.175; -0.559; -0.091; -0.072; -0.132; -0.182
 18000;  2.50; 0.2; -0.866; -0.185; -0.076; -0.170; -0.599; -0.094; -0.074; -0.147; -0.204
 18000;  3.00; 0.2; -0.796; -0.201; -0.085; -0.184; -0.604; -0.100; -0.075; -0.146; -0.201
 18000;  3.50; 0.2; -0.756; -0.201; -0.087; -0.187; -0.600; -0.100; -0.076; -0.144; -0.199
 18000;  4.00; 0.2; -0.730; -0.195; -0.088; -0.188; -0.597; -0.100; -0.076; -0.143; -0.197
 18000;  4.50; 0.2; -0.713; -0.185; -0.088; -0.187; -0.595; -0.099; -0.076; -0.142; -0.196
 18000;  5.00; 0.2; -0.701; -0.172; -0.089; -0.187; -0.596; -0.098; -0.076; -0.141; -0.195
 19000;  2.50; 0.2; -0.919; -0.188; -0.079; -0.176; -0.633; -0.098; -0.080; -0.159; -0.222
 19000;  3.00; 0.2; -0.839; -0.208; -0.090; -0.197; -0.645; -0.107; -0.081; -0.157; -0.217
 19000;  3.50; 0.2; -0.796; -0.211; -0.093; -0.200; -0.639; -0.108; -0.081; -0.154; -0.213
 19000;  4.00; 0.2; -0.770; -0.205; -0.093; -0.200; -0.634; -0.107; -0.081; -0.152; -0.210
 19000;  4.50; 0.2; -0.752; -0.196; -0.094; -0.199; -0.631; -0.106; -0.081; -0.150; -0.208
 19000;  5.00; 0.2; -0.740; -0.184; -0.095; -0.199; -0.631; -0.104; -0.081; -0.149; -0.207
 20000;  3.00; 0.2; -0.881; -0.214; -0.095; -0.208; -0.683; -0.113; -0.087; -0.168; -0.234
 20000;  3.50; 0.2; -0.834; -0.219; -0.099; -0.213; -0.677; -0.114; -0.086; -0.164; -0.228
 20000;  4.00; 0.2; -0.806; -0.214; -0.099; -0.212; -0.670; -0.113; -0.086; -0.161; -0.223
 20000;  4.50; 0.2; -0.787; -0.206; -0.100; -0.211; -0.665; -0.112; -0.085; -0.159; -0.221
 20000;  5.00; 0.2; -0.775; -0.195; -0.100; -0.210; -0.664; -0.110; -0.085; -0.158; -0.219
 21000;  3.00; 0.2; -0.921; -0.219; -0.098; -0.215; -0.714; -0.117; -0.092; -0.178; -0.250
 21000;  3.50; 0.2; -0.870; -0.225; -0.103; -0.224; -0.712; -0.120; -0.092; -0.174; -0.243
 21000;  4.00; 0.2; -0.840; -0.223; -0.104; -0.224; -0.705; -0.120; -0.090; -0.170; -0.237
 21000;  4.50; 0.2; -0.820; -0.215; -0.105; -0.223; -0.699; -0.118; -0.090; -0.167; -0.233
 21000;  5.00; 0.2; -0.808; -0.205; -0.105; -0.221; -0.695; -0.116; -0.089; -0.166; -0.231
 22000;  3.00; 0.2; -0.957; -0.224; -0.101; -0.221; -0.739; -0.121; -0.096; -0.185; -0.262
 22000;  3.50; 0.2; -0.905; -0.231; -0.107; -0.232; -0.744; -0.125; -0.097; -0.183; -0.257
 22000;  4.00; 0.2; -0.872; -0.230; -0.109; -0.234; -0.737; -0.125; -0.095; -0.179; -0.251
 22000;  4.50; 0.2; -0.851; -0.223; -0.109; -0.233; -0.730; -0.124; -0.094; -0.176; -0.246
 22000;  5.00; 0.2; -0.838; -0.214; -0.110; -0.232; -0.726; -0.122; -0.093; -0.174; -0.243
 23000;  3.00; 0.2; -0.987; -0.229; -0.104; -0.228; -0.762; -0.124; -0.098; -0.190; -0.270
 23000;  3.50; 0.2; -0.937; -0.236; -0.111; -0.240; -0.772; -0.129; -0.101; -0.191; -0.270
 23000;  4.00; 0.2; -0.903; -0.236; -0.113; -0.243; -0.768; -0.130; -0.100; -0.188; -0.265
 23000;  4.50; 0.2; -0.881; -0.231; -0.114; -0.243; -0.761; -0.129; -0.098; -0.184; -0.259
 23000;  5.00; 0.2; -0.867; -0.222; -0.114; -0.242; -0.756; -0.128; -0.097; -0.182; -0.256
 24000;  3.00; 0.2; -1.014; -0.235; -0.108; -0.235; -0.786; -0.128; -0.101; -0.196; -0.278
 24000;  3.50; 0.2; -0.965; -0.242; -0.114; -0.247; -0.796; -0.133; -0.104; -0.198; -0.281
 24000;  4.00; 0.2; -0.932; -0.241; -0.117; -0.251; -0.795; -0.135; -0.104; -0.196; -0.277
 24000;  4.50; 0.2; -0.909; -0.237; -0.118; -0.252; -0.790; -0.134; -0.103; -0.193; -0.272
 24000;  5.00; 0.2; -0.894; -0.229; -0.119; -0.251; -0.785; -0.133; -0.101; -0.190; -0.268
 25000;  3.00; 0.2; -1.040; -0.239; -0.110; -0.242; -0.809; -0.132; -0.105; -0.203; -0.288
 25000;  3.50; 0.2; -0.988; -0.248; -0.118; -0.255; -0.820; -0.137; -0.107; -0.204; -0.290
 25000;  4.00; 0.2; -0.958; -0.247; -0.120; -0.258; -0.819; -0.138; -0.107; -0.203; -0.288
 25000;  4.50; 0.2; -0.936; -0.243; -0.121; -0.260; -0.816; -0.138; -0.107; -0.201; -0.284
 25000;  5.00; 0.2; -0.921; -0.236; -0.122; -0.260; -0.812; -0.137; -0.105; -0.198; -0.280
 26000;  3.50; 0.2; -1.009; -0.255; -0.122; -0.263; -0.845; -0.142; -0.110; -0.210; -0.299
 26000;  4.00; 0.2; -0.980; -0.253; -0.123; -0.266; -0.842; -0.142; -0.111; -0.209; -0.298
 26000;  4.50; 0.2; -0.960; -0.249; -0.125; -0.267; -0.840; -0.142; -0.110; -0.208; -0.295
 26000;  5.00; 0.2; -0.945; -0.243; -0.126; -0.267; -0.838; -0.142; -0.109; -0.206; -0.292
 27000;  3.50; 0.2; -1.030; -0.261; -0.125; -0.272; -0.869; -0.146; -0.114; -0.217; -0.309
 27000;  4.00; 0.2; -1.000; -0.260; -0.127; -0.274; -0.866; -0.147; -0.114; -0.215; -0.306
 27000;  4.50; 0.2; -0.981; -0.255; -0.128; -0.274; -0.863; -0.146; -0.113; -0.214; -0.304
 27000;  5.00; 0.2; -0.968; -0.249; -0.129; -0.275; -0.861; -0.146; -0.112; -0.212; -0.302
 28000;  3.50; 0.2; -1.050; -0.266; -0.128; -0.278; -0.891; -0.150; -0.117; -0.223; -0.318
 28000;  4.00; 0.2; -1.019; -0.266; -0.131; -0.282; -0.890; -0.151; -0.117; -0.222; -0.315
 28000;  4.50; 0.2; -1.000; -0.262; -0.132; -0.282; -0.885; -0.151; -0.116; -0.220; -0.313
 28000;  5.00; 0.2; -0.988; -0.255; -0.132; -0.282; -0.883; -0.150; -0.115; -0.218; -0.311
 29000;  3.50; 0.2; -1.069; -0.270; -0.129; -0.281; -0.907; -0.152; -0.120; -0.228; -0.325
 29000;  4.00; 0.2; -1.036; -0.273; -0.135; -0.290; -0.912; -0.156; -0.120; -0.227; -0.324
 29000;  4.50; 0.2; -1.018; -0.268; -0.135; -0.290; -0.907; -0.155; -0.119; -0.225; -0.321
 29000;  5.00; 0.2; -1.007; -0.261; -0.136; -0.289; -0.904; -0.154; -0.118; -0.224; -0.319
 30000;  3.50; 0.2; -1.086; -0.273; -0.129; -0.282; -0.915; -0.153; -0.121; -0.232; -0.329
 30000;  4.00; 0.2; -1.054; -0.278; -0.137; -0.296; -0.932; -0.159; -0.123; -0.233; -0.330
 30000;  4.50; 0.2; -1.035; -0.274; -0.139; -0.297; -0.928; -0.159; -0.122; -0.231; -0.328
 30000;  5.00; 0.2; -1.025; -0.267; -0.139; -0.296; -0.924; -0.158; -0.121; -0.229; -0.326
 31000;  4.00; 0.2; -1.070; -0.283; -0.139; -0.300; -0.946; -0.161; -0.125; -0.237; -0.336
 31000;  4.50; 0.2; -1.051; -0.280; -0.141; -0.303; -0.947; -0.162; -0.125; -0.236; -0.334
 31000;  5.00; 0.2; -1.041; -0.274; -0.142; -0.303; -0.943; -0.161; -0.124; -0.234; -0.332
 32000;  4.00; 0.2; -1.085; -0.287; -0.140; -0.302; -0.957; -0.163; -0.127; -0.240; -0.340
 32000;  4.50; 0.2; -1.066; -0.285; -0.143; -0.308; -0.962; -0.165; -0.126; -0.239; -0.339
 32000;  5.00; 0.2; -1.056; -0.280; -0.144; -0.308; -0.960; -0.164; -0.125; -0.238; -0.337
 33000;  4.00; 0.2; -1.097; -0.290; -0.140; -0.303; -0.963; -0.163; -0.128; -0.243; -0.344
 33000;  4.50; 0.2; -1.080; -0.290; -0.145; -0.312; -0.973; -0.167; -0.128; -0.243; -0.344
 33000;  5.00; 0.2; -1.070; -0.285; -0.146; -0.313; -0.973; -0.167; -0.127; -0.241; -0.341
 34000;  4.00; 0.2; -1.108; -0.293; -0.139; -0.302; -0.965; -0.163; -0.128; -0.244; -0.347
 34000;  4.50; 0.2; -1.093; -0.294; -0.146; -0.313; -0.982; -0.168; -0.129; -0.245; -0.348
 34000;  5.00; 0.2; -1.083; -0.290; -0.148; -0.316; -0.984; -0.168; -0.129; -0.244; -0.345
 35000;  4.00; 0.2; -1.116; -0.295; -0.138; -0.300; -0.963; -0.162; -0.127; -0.244; -0.347
 35000;  4.50; 0.2; -1.103; -0.297; -0.146; -0.314; -0.986; -0.168; -0.130; -0.248; -0.351
 35000;  5.00; 0.2; -1.095; -0.294; -0.149; -0.319; -0.993; -0.170; -0.130; -0.247; -0.348
 37500;  4.50; 0.2; -1.123; -0.305; -0.145; -0.312; -0.987; -0.167; -0.130; -0.248; -0.353
 37500;  5.00; 0.2; -1.117; -0.303; -0.149; -0.319; -1.001; -0.170; -0.131; -0.250; -0.355
 40000;  4.50; 0.2; -1.135; -0.312; -0.145; -0.313; -0.990; -0.168; -0.130; -0.249; -0.354
 40000;  5.00; 0.2; -1.132; -0.311; -0.149; -0.319; -1.001; -0.170; -0.131; -0.251; -0.356
 42500;  5.00; 0.2; -1.142; -0.318; -0.150; -0.321; -1.007; -0.171; -0.132; -0.253; -0.359
 45000;  5.00; 0.2; -1.149; -0.323; -0.151; -0.324; -1.016; -0.173; -0.133; -0.255; -0.364
 47500;  5.00; 0.2; -1.156; -0.327; -0.152; -0.326; -1.024; -0.174; -0.134; -0.258; -0.368
 50000;  5.00; 0.2; -1.161; -0.330; -0.153; -0.329; -1.032; -0.176; -0.135; -0.260; -0.371
  2000;  4.00; 0.3;  2.053;  3.474;  3.352;  6.055; 11.296;  2.704;  0.999;  1.823;  2.647
  2000;  4.50; 0.3;  2.049;  3.533;  3.340;  6.061; 11.273;  2.721;  1.034;  1.846;  2.672
  2000;  5.00; 0.3;  2.013;  3.555;  3.341;  6.086; 11.275;  2.746;  1.065;  1.859;  2.684
  2000;  5.50; 0.3;  2.055;  3.608;  3.252;  6.002; 11.077;  2.750;  1.097;  1.845;  2.684
  2200;  3.50; 0.3;  2.156;  2.989;  2.733;  5.263;  9.764;  2.529;  0.645;  1.315;  1.933
  2200;  4.50; 0.3;  2.255;  3.316;  2.637;  5.120;  9.539;  2.483;  0.743;  1.430;  2.064
  2200;  5.50; 0.3;  2.107;  3.313;  2.642;  5.185;  9.569;  2.544;  0.799;  1.436;  2.069
  2500; -1.02; 0.3; -0.245;  1.428;  2.134;  4.576;  9.807;  2.442;  1.045;  1.565;  1.848
  2500; -0.70; 0.3; -0.245;  1.412;  1.946;  4.330;  9.337;  2.383;  1.027;  1.494;  1.720
  2500; -0.29; 0.3; -0.245;  1.396;  1.726;  4.027;  8.745;  2.301;  1.001;  1.403;  1.559
  2500;  0.28; 0.3; -0.245;  1.395;  1.676;  3.947;  8.267;  2.271;  0.926;  1.249;  1.400
  2500;  4.00; 0.3;  2.430;  2.939;  1.941;  3.846;  7.390;  1.906;  0.585;  1.072;  1.504
  2500;  4.50; 0.3;  2.304;  2.671;  1.942;  3.980;  7.548;  2.038;  0.602;  1.068;  1.472
  2500;  5.00; 0.3;  2.080;  2.596;  2.085;  4.281;  7.991;  2.196;  0.624;  1.097;  1.508
  2500;  5.50; 0.3;  1.997;  2.539;  2.098;  4.346;  8.050;  2.248;  0.649;  1.102;  1.503
  2800; -1.02; 0.3;  0.057;  1.462;  2.012;  4.411;  9.570;  2.399;  0.971;  1.487;  1.810
  2800; -0.70; 0.3;  0.057;  1.453;  1.897;  4.244;  9.189;  2.347;  0.985;  1.460;  1.728
  2800; -0.29; 0.3;  0.057;  1.443;  1.756;  4.029;  8.695;  2.273;  1.004;  1.426;  1.623
  2800;  0.28; 0.3;  0.057;  1.438;  1.638;  3.842;  8.097;  2.203;  0.998;  1.345;  1.489
  2800;  0.60; 0.3;  0.057;  1.436;  1.590;  3.764;  7.784;  2.174;  0.989;  1.293;  1.417
  2800;  3.50; 0.3;  1.714;  2.066;  1.850;  3.758;  7.291;  1.909;  0.568;  0.847;  1.156
  2800;  4.00; 0.3;  1.811;  2.131;  1.794;  3.655;  6.946;  1.862;  0.542;  0.914;  1.269
  2800;  4.50; 0.3;  1.782;  2.055;  1.780;  3.681;  6.901;  1.901;  0.553;  0.941;  1.295
  2800;  5.00; 0.3;  1.692;  1.906;  1.786;  3.771;  6.991;  1.985;  0.565;  0.941;  1.275
  3000; -0.70; 0.3;  0.363;  1.418;  1.800;  4.162;  9.179;  2.361;  0.909;  1.387;  1.704
  3000; -0.29; 0.3;  0.363;  1.413;  1.694;  4.000;  8.749;  2.306;  0.945;  1.380;  1.645
  3000;  0.28; 0.3;  0.363;  1.408;  1.562;  3.795;  8.176;  2.233;  0.978;  1.353;  1.559
  3000;  0.60; 0.3;  0.363;  1.406;  1.495;  3.690;  7.870;  2.196;  0.987;  1.327;  1.508
  3000;  4.00; 0.3;  1.561;  1.804;  1.514;  3.199;  6.285;  1.685;  0.619;  0.860;  1.095
  3000;  5.00; 0.3;  1.549;  1.772;  1.453;  3.133;  5.910;  1.681;  0.565;  0.891;  1.174
  3000;  5.50; 0.3;  1.482;  1.694;  1.450;  3.183;  5.930;  1.733;  0.570;  0.894;  1.167
  3200; -0.70; 0.3;  0.942;  1.416;  1.732;  4.134;  8.456;  2.402;  0.821;  1.270;  1.537
  3200; -0.51; 0.3;  0.942;  1.413;  1.623;  3.991;  8.248;  2.368;  0.843;  1.277;  1.534
  3200; -0.29; 0.3;  0.942;  1.410;  1.501;  3.825;  8.006;  2.324;  0.870;  1.285;  1.530
  3200;  0.28; 0.3;  0.942;  1.403;  1.225;  3.430;  7.431;  2.204;  0.928;  1.300;  1.518
  3200;  0.60; 0.3;  0.942;  1.400;  1.105;  3.245;  7.178;  2.140;  0.948;  1.298;  1.506
  3200;  3.50; 0.3;  1.257;  1.367;  1.454;  3.130;  6.576;  1.676;  0.741;  0.813;  0.877
  3200;  4.00; 0.3;  1.272;  1.455;  1.365;  2.952;  5.997;  1.587;  0.725;  0.868;  0.992
  3200;  4.50; 0.3;  1.347;  1.510;  1.301;  2.826;  5.550;  1.525;  0.648;  0.865;  1.052
  3200;  5.00; 0.3;  1.331;  1.513;  1.261;  2.759;  5.281;  1.498;  0.596;  0.854;  1.073
  3200;  5.50; 0.3;  1.290;  1.484;  1.240;  2.747;  5.174;  1.507;  0.576;  0.847;  1.074
  3350; -0.51; 0.3;  1.299;  1.534;  1.537;  3.730;  7.204;  2.193;  0.790;  1.182;  1.430
